Unique ID,Name,Honoree,City,County,State,Side,Coordinates,Symbol Type,Symbol Category,Sponsor,Year Dedicated,Year Removed,Was this symbol removed?
19,Johnston Street,Joseph Eggleston Johnston,Mobile,Mobile,AL,South,"30.659250, -88.077004",Highway / Roadway,Roads,Unknown,Unknown,,Active
22,Polk Street,Leonidas Polk,Mobile,Mobile,AL,South,"30.659955, -88.075649",Highway / Roadway,Roads,Unknown,Unknown,,Active
18,Robert E. Lee Street,Robert E. Lee,Mobile,Mobile,AL,South,"30.661088, -88.076747",Highway / Roadway,Roads,Unknown,Unknown,,Active
20,Van Dorn Street,Earl Van Dorn,Mobile,Mobile,AL,South,"30.658428, -88.077154",Highway / Roadway,Roads,Unknown,Unknown,,Active
16,Confederate Circle,No specific honoree,Monroeville,Monroe,AL,South,"31.514279, -87.332234",Highway / Roadway,Roads,Unknown,Unknown,,Active
15,Robert Lee Street,Robert E. Lee,Monroeville,Monroe,AL,South,"31.512632, -87.333961",Highway / Roadway,Roads,Unknown,Unknown,,Active
17,Stonewall Lane,"Thomas Jonathan ""Stonewall"" Jackson",Monroeville,Monroe,AL,South,"31.512641, -87.333693",Highway / Roadway,Roads,Unknown,Unknown,,Active
9,Alabama Coat of Arms,No specific honoree,Montgomery,Montgomery,AL,South,"32.378097, -86.300535",Flag,"Other: Flags, Etc.",Unknown,1923,,Active
3171,Alabama Confederate Flag,No specific honoree,Montgomery,Montgomery,AL,South,"32.377747, -86.300444",Flag,"Other: Flags, Etc.",State of Alabama,1963,1993,Removed
10,Beauregard Street,Pierre Gustave Toutant-Beauregard,Montgomery,Montgomery,AL,South,"32.369615, -86.285629",Highway / Roadway,Roads,Unknown,Unknown,,Active
42,Confederate Memorial Day*,No specific honoree,Montgomery,Montgomery,AL,South,"32.377271, -86.300466",Holiday / Observances,Other: Holiday,State of Alabama,Unknown,,Active
90,Confederate Monument,No specific honoree,Montgomery,Montgomery,AL,South,"32.378470, -86.300527",Monument,Other Government Office Grounds,Ladies Memorial Association and State of Alabama,1898,,Active
61,Dexter Avenue Monument,No specific honoree,Montgomery,Montgomery,AL,South,"32.377517, -86.302367",Monument,Other: Monument,United Daughters of the Confederacy,1942,,Active
37,Jefferson Davis Avenue,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.366163, -86.319009",Highway / Roadway,Roads,Unknown,Unknown,,Active
103,Jefferson Davis High School,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.343234, -86.262223",School,Schools,Unknown,1968,,Active
38,Jefferson Davis Highway,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.312688, -86.345179",Highway / Roadway,Roads,Unknown,Unknown,,Active
2140,Jefferson Davis Highway Marker,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.382250, -86.268967",Monument,Other: Monument,United Daughters of the Confederacy,Unknown,,Active
91,Jefferson Davis Statue,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377850, -86.300900",Monument,Other Government Office Grounds,United Daughters of the Confederacy,1940,,Active
41,Jefferson Davis' Birthday*,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377740, -86.300070",Holiday / Observances,Other: Holiday,State of Alabama,Unknown,,Active
92,Jefferson Davis' Presidential Star,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377722, -86.300702",Monument,Other: Monument,United Daughters of the Confederacy,1897,,Active
63,"John Allan Wyeth M.D., L.L.D. Marker",John Allan Wyeth,Montgomery,Montgomery,AL,South,"32.377483, -86.300950",Monument,Other: Monument,Unknown,Unknown,,Active
40,Robert E. Lee Day*,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.377573, -86.300406",Holiday / Observances,Other: Holiday,State of Alabama,Unknown,,Active
102,Robert E. Lee High School,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.378512, -86.272053",School,Schools,Unknown,1955,,Active
62,Robert E. Lee Statue,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.378517, -86.272250",Monument,Other: Monument,Unknown,1908,,Active
3,Sons of Confederate Veterans Commemorative License Plate,No specific honoree,Montgomery,Montgomery,AL,South,"32.377883, -86.300594",Commemorative License Plate,"Other: Flags, Etc.",Sons of Confederate Veterans,Unknown,,Active
2027,Stonewall Jackson Memorial Fund,"Thomas Jonathan ""Stonewall"" Jackson",Montgomery,Montgomery,AL,South,"32.375750, -86.300500",Scholarship,Scholarship,AL Legislature,1955,,Active
2039,The First Offices of the Confederate Government Monument,No specific honoree,Montgomery,Montgomery,AL,South,"32.378860, -86.311300",Monument,Other: Monument,United Daughters of the Confederacy,1911,,Active
88,Confederate Monument,No specific honoree,Moulton,Lawrence,AL,South,"34.481358, -87.291843",Monument,Courthouse Grounds,Sons of Confederate Veterans and acknowledgment given to the United Daughters of the Confederacy,2006,,Active
104,Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,South,"32.549874, -85.372087",School,Schools,Unknown,1928,,Active
105,Beauregard High School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,South,"32.547138, -85.367999",School,Schools,Unknown,1928,,Active
64,Confederate Monument,No specific honoree,Opelika,Lee,AL,South,"32.646055, -85.376913",Monument,Other: Monument,Unknown,1911,,Active
7,Lee County,Robert E. Lee,Opelika,Lee,AL,South,"32.646046, -85.379469",County,Other: County/Municipality ,Unknown,1866,,Active
3000,Lee Rd,Robert E. Lee,Opelika,Lee,AL,South,"32.548755, -85.368786",highway / Roadway,Roads,Unknown,Unknown,,Active
2107,John Tyler Morgan Monument,John Tyler Morgan,Oxford,Calhoun,AL,South,"33.614993, -85.828939",Monument,Other: Monument,United Daughters of the Confederacy,1938,,Active
65,Dale County Confederate Soldiers Monument,No specific honoree,Ozark,Dale,AL,South,"31.458467, -85.640350",Monument,Other: Monument,United Daughters of the Confederacy,1910,,Active
35,Jeb Stewart [sic] Place,"James Ewell Brown ""Jeb"" Stuart",Ozark,Dale,AL,South,"31.423742, -85.669376",Highway / Roadway,Roads,Unknown,Unknown,,Active
34,Stonewall Circle,"Thomas Jonathan ""Stonewall"" Jackson",Ozark,Dale,AL,South,"31.425819, -85.670013",Highway / Roadway,Roads,Unknown,Unknown,,Active
66,Confederate Monument,No specific honoree,Prattville,Autauga,AL,South,"32.463698, -86.475073",Monument,Other: Monument,United Daughters of the Confederacy,1908,,Active
2230,Prattville Dragoons Monument I,No specific honoree,Prattville,Autauga,AL,South,"32.462617, -86.469176",Monument,Other: Monument,United Daughters of the Confederacy,1916,,Active
67,Prattville Dragoons Monument II,No specific honoree,Prattville,Autauga,AL,South,"32.462561, -86.469191",Monument,Other: Monument,Sons of Confederate Veterans,2002,,Active
68,General Joseph Wheeler,Joseph Wheeler,Rogersville,Lauderdale,AL,South,"34.811697, -87.332484",Monument,Other: Monument,Sons of Confederate Veterans,2006,,Active
100,Joe Wheeler State Park,Joseph Wheeler,Rogersville,Lauderdale,AL,South,"34.818236, -87.345549",Park,"Other: Parks/Trails, Etc.",State of Alabama,1949,,Active
106,Robert E. Lee Primary Elementary School,Robert E. Lee,Satsuma,Mobile,AL,South,"30.846664, -88.067243",School,Schools,Unknown,Unknown,,Active
2152,Confederate Arsenal Monument,No specific honoree,Selma,Dallas,AL,South,"32.405817, -87.021500",Monument,Other: Monument,United Daughters of the Confederacy,1931,,Active
70,Defense of Selma Memorial,No specific honoree,Selma,Dallas,AL,South,"32.426912, -87.014171",Monument,Other: Monument,United Daughters of the Confederacy,1907,,Active
2,Edmund Pettus Bridge,Edmund Pettus,Selma,Dallas,AL,South,"32.405538, -87.018452",Bridge,Roads,Unknown,1940,,Active
69,Selma Navy Yard Memorial,No specific honoree,Selma,Dallas,AL,South,"32.408736, -87.014073",Monument,Other: Monument,United Daughters of the Confederacy,1917,,Active
2051,Fort Blakely Soldiers and Sailors Monument,No specific honoree,Spanish Fort,Baldwin,AL,South,"30.742600, -87.915350",Monument,Other: Monument,United Daughters of the Confederacy,2010,,Active
72,Confederate Monument,No specific honoree,Troy,Pike,AL,South,"31.807677, -85.971731",Monument,Other: Monument,United Daughters of the Confederacy and United Confederate Veterans,1908,,Active
14,Robert Lee Rd,Robert E. Lee,Trussville,Jefferson,AL,South,"33.602698, -86.570036",Highway / Roadway,Roads,Unknown,Unknown,,Active
73,University of Alabama Civil War Monument,No specific honoree,Tuscaloosa,Tuscaloosa,AL,South,"33.211119, -87.546154",Monument,Other: Monument,United Daughters of the Confederacy,1914,,Active
89,Confederate Veterans Monument,No specific honoree,Tuscumbia,Colbert,AL,South,"34.733696, -87.703805",Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Active
5013,Deshler Career Technical Center,James Deshler ,Tuscumbia,Colbert,AL,South,"34.738067, -87.702130",School,Schools,Unknown,unknown,,Active
3174,Deshler High School,James Deshler ,Tuscumbia,Colbert,AL,South,"34.738670, -87.701589",School,Schools,City of Tuscumbia,1950,,Active
5014,Deshler Middle School,James Deshler ,Tuscumbia,Colbert,AL,South,"34.738566, -87.696943",School,Schools,Unknown,unknown,,Active
5015,Joe Wheeler Dr,Joseph Wheeler,Tuscumbia,Colbert,AL,South,"34.722637, -87.695707",Highway / Roadway,Roads,Unknown,Unknown,,Active
5016,Old Lee Highway,Robert E. Lee,Tuscumbia,Colbert,AL,South,"34.715493, -87.732582",Highway / Roadway,Roads,Unknown,Unknown,,Active
74,Tuskegee Confederate Monument,No specific honoree,Tuskegee,Macon,AL,South,"32.424080, -85.690879",Monument,Other: Monument,United Daughters of the Confederacy,1906,,Active
8,Bullock County,Edward C. Bullock,Union Springs,Bullock,AL,South,"32.145335, -85.716127",County,Other: County/Municipality ,Unknown,1866,,Active
95,City of Wheeler,Joseph Wheeler,Wheeler,Lawrence,AL,South,"34.654470, -87.250244",City,Other: County/Municipality ,Unknown,Unknown,,Active
144,Arkadelphia Confederate Monument,No specific honoree,Arkadelphia,Clark,AR,South,"34.118622, -93.051101",Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Active
124,Batesville Confederate Monument,No specific honoree,Batesville,Independence ,AR,South,"35.770424, -91.653176",Monument,Other: Monument,United Daughters of the Confederacy and United Confederate Veterans,1907,,Active
2215,Confederate Veterans Flagpole,No specific honoree,Batesville,Independence ,AR,South,"35.770531, -91.653179",Other,Courthouse Grounds,Sons of Confederate Veterans,2004,,Active
125,Confederate Veterans Monument,No specific honoree,Benton,Saline,AR,South,"34.565429, -92.587455",Monument,Other: Monument,Sons of Confederate Veterans,Unknown,,Active
126,Bentonville Confederate Monument,No specific honoree,Bentonville,Benton,AR,South,"36.372647, -94.208469",Monument,Other: Monument,United Daughters of the Confederacy,1908,,Active
145,Confederate War Monument,No specific honoree,Blytheville,Mississippi,AR,South,"35.928815, -89.905186",Monument,Courthouse Grounds,United Daughters of the Confederacy,1934,,Active
146,Camden Confederate Women Monument,No specific honoree,Camden,Ouachita,AR,South,"33.584804, -92.830509",Monument,Courthouse Grounds,United Confederate Veterans and United Daughters of the Confederacy,1914,,Active
158,Confederate Soldiers Monument,No specific honoree,Conway,Faulkner,AR,South,"35.088536, -92.443327",Monument,Courthouse Grounds,United Daughters of the Confederacy,1925,,Active
127,Dardanelle Confederate Monument,No specific honoree,Dardanelle,Yell,AR,South,"35.224025, -93.155306",Monument,Other: Monument,United Daughters of the Confederacy,1921,,Active
2071,Jefferson Davis Highway Marker,Jefferson Davis,Dardanelle,Yell,AR,South,"35.223733, -93.156183",Monument,Courthouse Grounds,United Daughters of the Confederacy,1961,,Active
147,El Dorado Confederate Monument,No specific honoree,El Dorado,Union,AR,South,"33.212020, -92.663606",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Active
109,Robert E. Lee Street,Robert E. Lee,El Dorado,Union,AR,South,"33.199748, -92.684402",Highway / Roadway,Roads,Unknown,Unknown,,Active
159,City of Forrest City,Nathan Bedford Forrest,Forrest City,St. Francis,AR,South,"35.012199, -90.785838",City,Other: County/Municipality ,Unknown,1870,,Active
119,Confederate Drive,No specific honoree,Forrest City,St. Francis,AR,South,"35.031451, -90.790424",Highway / Roadway,Roads,Unknown,Unknown,,Active
162,Forrest City High School,Nathan Bedford Forrest,Forrest City,St. Francis,AR,South,"35.020361, -90.794509",School,Schools,Unknown,1915,,Active
161,Forrest City Junior High School,Nathan Bedford Forrest,Forrest City,St. Francis,AR,South,"35.019852, -90.790152",School,Schools,Unknown,1915,,Active
148,Fort Smith Confederate Monument,No specific honoree,Fort Smith,Sebastian,AR,South,"35.386100, -94.426079",Monument,Courthouse Grounds,United Daughters of the Confederacy,1903,,Active
128,Jefferson Davis Monument,Jefferson Davis,Fort Smith,Sebastian,AR,South,"35.385902, -94.398479",Monument,Other: Monument,United Daughters of the Confederacy,1903,,Active
129,Confederate Veterans Monument,No specific honoree,Harrison,Boone,AR,South,"36.230200, -93.107617",Monument,Other: Monument,Sons of Confederate Veterans,1986,,Active
111,Jefferson Davis Road,Jefferson Davis,Heber Springs,Cleburne,AR,South,"35.445151, -92.048005",Highway / Roadway,Roads,Unknown,Unknown,,Active
1901,Albert Pike Road,Albert Pike,Hot Springs,Garland,AR,South,"34.511409, -93.237951",Highway / Roadway,Roads,Unknown,Unknown,,Active
130,Hot Springs Confederate Monument,No specific honoree,Hot Springs,Garland,AR,South,"34.507949, -93.054737",Monument,Other: Monument,United Daughters of the Confederacy,1934,,Active
113,Jeff Davis Street,Jefferson Davis,Hughes,St. Francis,AR,South,"34.949540, -90.471803",Highway / Roadway,Roads,Unknown,Unknown,,Active
131,Jackson County Confederate Memorial,"Thomas Jonathan ""Stonewall"" Jackson",Jacksonport,Jackson,AR,South,"35.639167, -91.311944",Monument,Other: Monument,Unknown,1914,,Active
112,Jeff Davis Avenue,Jefferson Davis,Jacksonville,Pulaski,AR,South,"34.876121, -92.119850",Highway / Roadway,Roads,Unknown,Unknown,,Active
3002,Military Order of the Stars and Bars Monument,No specific honoree,Jonesboro,Craighead,AR,South,"35.837983, -90.705125",Monument,Courthouse Grounds,Sons of Confederate Veterans,unknown,,Active
1911,Sons of Confederate Veterans Monument,No specific honoree,Jonesboro,Craighead,AR,South,"35.838091, -90.705143",Monument,Courthouse Grounds,Sons of Confederate Veterans,unknown,,Active
120,Confederate Street,No specific honoree,Lake Village,Chicot,AR,South,"33.335419, -91.284521",Highway / Roadway,Roads,Unknown,Unknown,,Active
150,Lake Village Confederate Monument,No specific honoree,Lake Village,Chicot,AR,South,"33.331450, -91.281683",Monument,Courthouse Grounds,United Daughters of the Confederacy,1910,,Active
114,Beauregard Drive,Pierre Gustave Toutant-Beauregard,Little Rock,Pulaski,AR,South,"34.722877, -92.192030",Highway / Roadway,Roads,Unknown,Unknown,,Active
116,Claiborne Circle,Patrick Cleburne,Little Rock,Pulaski,AR,South,"34.722873, -92.190323",Highway / Roadway,Roads,Unknown,Unknown,,Active
133,Confederate Bench,No specific honoree,Little Rock,Pulaski,AR,South,"34.738683, -92.265000",Monument,Other: Monument,Unknown,1936,,Active
1923,Confederate Boulevard,No specific honoree,Little Rock,Pulaski,AR,South,"34.711711, -92.254515",Highway / Roadway,Roads,Unknown,unknown,2015,Removed
121,Confederate Flag Day,No specific honoree,Little Rock,Pulaski,AR,South,"34.746576, -92.289346",Holiday / Observances,Other: Holiday,State of Arkansas,Unknown,,Active
134,Confederate Soldiers Memorial,No specific honoree,Little Rock,Pulaski,AR,South,"34.747400, -92.288100",Monument,Other: Monument,"United Daughters of the Confederacy, State of Arkansas, United Confederate Veterans, Sons of Confederate Veterans",1905,,Active
155,Confederate War Prisoners Memorial,No specific honoree,Little Rock,Pulaski,AR,South,"34.745800, -92.289783",Monument,Other Government Office Grounds,United Daughters of the Confederacy,Unknown,,Active
3003,David O. Dodd Monument I,David Owen Dodd,Little Rock,Pulaski,AR,South,"34.748973, -92.272214",Monument,Other: Monument,"United Daughters of the Confederacy, Sons of Confederate Veterans, United Confederate Veterans",1923,,Active
2175,David O. Dodd Monument II,David Owen Dodd,Little Rock,Pulaski,AR,South,"34.738033, -92.265067",Monument,Other Government Office Grounds,United Daughters of the Confederacy,1926,,Active
135,General Thomas J. Churchill Memorial,Thomas J. Churchill,Little Rock,Pulaski,AR,South,"34.748817, -92.272233",Monument,Other: Monument,Sons of Confederate Veterans,1928,,Active
136,General William Read Scurry Memorial,William Read Scurry,Little Rock,Pulaski,AR,South,"34.748833, -92.272033",Monument,Other: Monument,Sons of Confederate Veterans,1928,,Active
2202,Little Rock Defenders Monument,No specific honoree,Little Rock,Pulaski,AR,South,"34.749025, -92.272050",Monument,Other: Monument,United Daughters of the Confederacy,1932,,Active
132,Memorial to Company A Confederate Soldiers,No specific honoree,Little Rock,Pulaski,AR,South,"34.738915, -92.264130",Monument,Other: Monument,United Confederate Veterans,1911,,Active
156,Monument to Confederate Soldiers,No specific honoree,Little Rock,Pulaski,AR,South,"34.746039, -92.288886",Monument,Other Government Office Grounds,"United Daughters of the Confederacy, United Confederate Veterans, Sons of Confederate Veterans, and the state of Arkansas",1905,,Active
